generation,genome,fitness
7,0.199211,1.25061
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,-0.239089,-3.1046
7,0.204897,1.24946
7,0.199211,1.25061
7,0.204582,1.24963
7,0.199211,1.25061
7,1.14329,-0.0208165
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,-0.094401,-2.52975
7,0.204582,1.24963
7,-0.30419,-2.59299
7,0.204582,1.24963
7,0.204582,1.24963
7,-0.0863698,-2.42374
7,0.0628378,0.0833103
7,0.199211,1.25061
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.199211,1.25061
7,0.204582,1.24963
7,0.199211,1.25061
7,-0.746693,-1.68382
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.204582,1.24963
7,0.920536,-0.112935
7,-0.75225,-1.69323
7,0.204582,1.24963
7,0.204582,1.24963
8,0.204582,1.24963
8,0.331295,0.41334
8,0.204582,1.24963
8,0.204582,1.24963
8,0.199211,1.25061
8,0.204582,1.24963
8,0.199211,1.25061
8,-0.417889,-1.38732
8,0.546274,-0.833745
8,-0.116296,-2.78424
8,0.199211,1.25061
8,0.612399,-0.544005
8,0.199211,1.25061
8,-0.0010533,-1.01896
8,0.788476,0.294751
8,0.632092,-0.421656
8,0.199211,1.25061
8,0.204582,1.24963
8,0.199211,1.25061
8,0.204582,1.24963
8,0.204582,1.24963
8,0.0757787,0.280332
8,0.204582,1.24963
8,0.199211,1.25061
8,0.204582,1.24963
8,-0.760092,-1.70315
8,-0.75225,-1.69323
8,0.205161,1.24931
8,0.199211,1.25061
8,0.204582,1.24963
8,-0.107178,-2.68469
8,0.199211,1.25061
8,0.204582,1.24963
8,0.765983,0.266535
8,0.199211,1.25061
8,0.204582,1.24963
8,0.204582,1.24963
8,0.204582,1.24963
8,0.199211,1.25061
8,1.1837,0.385724
8,0.204582,1.24963
8,0.204582,1.24963
8,0.199211,1.25061
8,-0.745845,-1.68221
8,0.199211,1.25061
8,0.612715,-0.542119
8,0.199211,1.25061
8,0.199211,1.25061
8,0.199211,1.25061
8,0.199211,1.25061
9,0.199211,1.25061
9,0.199211,1.25061
9,0.199211,1.25061
9,0.889977,0.0404821
9,1.02178,-0.495929
9,0.199211,1.25061
9,0.722549,0.121165
9,-0.714365,-1.59304
9,-0.682911,-1.45719
9,0.199211,1.25061
9,0.204582,1.24963
9,0.199211,1.25061
9,-0.116313,-2.78442
9,0.199211,1.25061
9,-0.690581,-1.49363
9,-0.219124,-3.18146
9,0.199211,1.25061
9,0.832227,0.253944
9,0.199211,1.25061
9,1.17831,0.326693
9,0.204582,1.24963
9,0.204582,1.24963
9,0.199211,1.25061
9,-0.531248,-0.864585
9,0.199211,1.25061
9,0.199211,1.25061
9,0.204582,1.24963
9,0.199211,1.25061
9,0.204582,1.24963
9,0.204582,1.24963
9,0.204582,1.24963
9,-0.702874,-1.54788
9,-0.512934,-0.87609
9,0.204582,1.24963
9,0.199211,1.25061
9,0.551129,-0.82163
9,0.199211,1.25061
9,0.199211,1.25061
9,0.739196,0.190055
9,0.199211,1.25061
9,0.199211,1.25061
9,0.199211,1.25061
9,0.199211,1.25061
9,0.199211,1.25061
9,0.204582,1.24963
9,0.162193,1.15721
9,0.199211,1.25061
9,0.199211,1.25061
9,0.204582,1.24963
9,0.204582,1.24963
10,0.199211,1.25061
10,0.503715,-0.859041
10,0.199211,1.25061
10,0.199211,1.25061
10,0.907378,-0.0455087
10,0.199211,1.25061
10,0.199211,1.25061
10,0.204582,1.24963
10,0.199211,1.25061
10,0.199211,1.25061
10,0.199211,1.25061
10,1.08658,-0.399026
10,0.199211,1.25061
10,-0.209531,-3.20183
10,0.199211,1.25061
10,0.199211,1.25061
10,0.199211,1.25061
10,-0.104398,-2.65248
10,0.199211,1.25061
10,0.199211,1.25061
10,0.538761,-0.848975
10,0.199211,1.25061
10,0.199211,1.25061
10,0.199211,1.25061
10,0.0425821,-0.248242
10,0.199211,1.25061
10,0.199211,1.25061
10,0.97747,-0.381095
10,0.199211,1.25061
10,-0.291962,-2.71281
10,0.199211,1.25061
10,0.199211,1.25061
10,-0.173157,-3.17345
10,0.199211,1.25061
10,0.204582,1.24963
10,0.65939,-0.243767
10,0.267894,0.991842
10,0.199211,1.25061
10,0.199211,1.25061
10,0.199211,1.25061
10,0.204582,1.24963
10,0.199211,1.25061
10,0.204582,1.24963
10,0.199211,1.25061
10,0.199211,1.25061
10,0.199211,1.25061
10,-0.548329,-0.877962
10,0.199211,1.25061
10,0.199211,1.25061
10,0.650979,-0.298759
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.651262,-0.296902
11,-0.685731,-1.47079
11,1.01955,-0.493193
11,0.199211,1.25061
11,0.404323,-0.324246
11,0.199211,1.25061
11,-0.531372,-0.864601
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.65939,-0.243767
11,0.0210039,-0.623596
11,0.199211,1.25061
11,-0.78941,-1.70372
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,-0.396885,-1.58831
11,-0.207658,-3.20449
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.199211,1.25061
11,0.753344,0.236043
11,-0.501603,-0.897349
11,0.362716,0.084032
11,0.199211,1.25061
11,1.05928,-0.483351
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,-0.528053,-0.86461
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.696079,-0.0161512
12,0.199211,1.25061
12,-0.0569475,-1.98629
12,0.676657,-0.133046
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.362716,0.084032
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
12,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.87341,0.115612
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.873745,0.114177
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.431325,-0.544451
13,0.314065,0.588726
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.883668,0.0700553
13,0.199211,1.25061
13,0.689248,-0.0560235
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.510187,-0.865072
13,0.199211,1.25061
13,0.557357,-0.803582
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.576479,-0.73189
13,0.199211,1.25061
13,0.199211,1.25061
13,-0.338041,-2.22977
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,0.199211,1.25061
13,-0.28842,-2.74591
13,0.199211,1.25061
13,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,-0.204048,-3.20839
14,0.0372966,-0.338486
14,0.199211,1.25061
14,0.199211,1.25061
14,0.0529274,-0.075782
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.781558,0.289681
14,0.199211,1.25061
14,0.115118,0.785149
14,0.199211,1.25061
14,0.388544,-0.176863
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,-0.386903,-1.69125
14,0.190709,1.24475
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,1.12506,-0.170434
14,0.199211,1.25061
14,0.199211,1.25061
14,0.231658,1.19188
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.170681,1.1943
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,-0.559672,-0.898682
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
14,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.190709,1.24475
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,1.04267,-0.503067
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.527279,-0.863619
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
15,0.442338,-0.620098
15,0.199211,1.25061
15,0.199211,1.25061
15,0.199211,1.25061
